№,Секунда,Микросекунда
1,24,883398
2,24,883437
3,24,883443
4,24,883446
5,24,883448
6,24,883453
7,24,883455
8,24,883457
9,24,883459
10,24,883460
11,24,883463
12,24,883465
13,24,883467
14,24,883468
15,24,883470
16,24,883472
17,24,883474
18,24,883475
19,24,883477
20,24,883479
21,24,883480
22,24,883482
23,24,883483
24,24,883485
25,24,883487
26,24,883489
27,24,883491
28,24,883493
29,24,883494
30,24,883496
31,24,883497
32,24,883499
33,24,883501
34,24,883502
35,24,883504
36,24,883506
37,24,883507
38,24,883509
39,24,883511
40,24,883512
41,24,883514
42,24,883516
43,24,883517
44,24,883519
45,24,883521
46,24,883522
47,24,883524
48,24,883526
49,24,883527
50,24,883529
51,24,883531
52,24,883532
53,24,883534
54,24,883536
55,24,883538
56,24,883539
57,24,883541
58,24,883543
59,24,883544
60,24,883546
61,24,883548
62,24,883550
63,24,883551
64,24,883553
65,24,883555
66,24,883557
67,24,883559
68,24,883560
69,24,883562
70,24,883564
71,24,883568
72,24,883570
73,24,883572
74,24,883573
75,24,883575
76,24,883577
77,24,883580
78,24,883581
79,24,883583
80,24,883585
81,24,883586
82,24,883588
83,24,883590
84,24,883591
85,24,883593
86,24,883595
87,24,883596
88,24,883598
89,24,883600
90,24,883601
91,24,883603
92,24,883605
93,24,883607
94,24,883609
95,24,883611
96,24,883612
97,24,883614
98,24,883615
99,24,883617
100,24,883619
101,24,883621
102,24,883623
103,24,883625
104,24,883626
105,24,883628
106,24,883630
107,24,883631
108,24,883633
109,24,883640
110,24,883642
111,24,883644
112,24,883645
113,24,883647
114,24,883649
115,24,883650
116,24,883652
117,24,883654
118,24,883656
119,24,883657
120,24,883659
121,24,883661
122,24,883663
123,24,883664
124,24,883666
125,24,883667
126,24,883669
127,24,883671
128,24,883673
129,24,883675
130,24,883677
131,24,883679
132,24,883680
133,24,883682
134,24,883684
135,24,883688
136,24,883690
137,24,883692
138,24,883694
139,24,883695
140,24,883697
141,24,883699
142,24,883700
143,24,883702
144,24,883704
145,24,883705
146,24,883707
147,24,883708
148,24,883710
149,24,883712
150,24,883714
151,24,883715
152,24,883717
153,24,883719
154,24,883720
155,24,883722
156,24,883724
157,24,883725
158,24,883727
159,24,883729
160,24,883730
161,24,883732
162,24,883734
163,24,883735
164,24,883737
165,24,883739
166,24,883740
167,24,883742
168,24,883744
169,24,883745
170,24,883747
171,24,883749
172,24,883750
173,24,883752
174,24,883754
175,24,883756
176,24,883757
177,24,883759
178,24,883760
179,24,883762
180,24,883764
181,24,883765
182,24,883767
183,24,883769
184,24,883770
185,24,883772
186,24,883774
187,24,883775
188,24,883777
189,24,883779
190,24,883780
191,24,883782
192,24,883784
193,24,883785
194,24,883787
195,24,883789
196,24,883790
197,24,883792
198,24,883796
199,24,883798
200,24,883800
201,24,883802
202,24,883803
203,24,883805
204,24,883807
205,24,883829
206,24,883832
207,24,883833
208,24,883835
209,24,883838
210,24,883840
211,24,883841
212,24,883843
213,24,883845
214,24,883846
215,24,883848
216,24,883850
217,24,883851
218,24,883853
219,24,883855
220,24,883856
221,24,883858
222,24,883859
223,24,883861
224,24,883863
225,24,883864
226,24,883866
227,24,883867
228,24,883869
229,24,883871
230,24,883872
231,24,883874
232,24,883875
233,24,883878
234,24,883879
235,24,883881
236,24,883883
237,24,883884
238,24,883886
239,24,883887
240,24,883889
241,24,883890
242,24,883892
243,24,883894
244,24,883895
245,24,883897
246,24,883898
247,24,883900
248,24,883901
249,24,883903
250,24,883905
251,24,883906
252,24,883908
253,24,883910
254,24,883911
255,24,883913
256,24,883914
257,24,883916
258,24,883919
259,24,883920
260,24,883922
261,24,883924
262,24,883928
263,24,883930
264,24,883932
265,24,883934
266,24,883935
267,24,883937
268,24,883939
269,24,883941
270,24,883943
271,24,883944
272,24,883946
273,24,883947
274,24,883949
275,24,883951
276,24,883952
277,24,883954
278,24,883956
279,24,883957
280,24,883959
281,24,883960
282,24,883962
283,24,883964
284,24,883965
285,24,883967
286,24,883969
287,24,883970
288,24,883972
289,24,883974
290,24,883975
291,24,883977
292,24,883979
293,24,883980
294,24,883982
295,24,883983
296,24,883985
297,24,883987
298,24,883988
299,24,883990
300,24,883992
